,pedido,fecha
1,13879881,2023-03-04
2,13821013,2023-02-25
3,13759447,2023-02-18
4,13703740,2023-02-11
5,13640454,2023-02-04
6,13580934,2023-01-28
7,13546313,2023-01-21
8,13507140,2023-01-14
9,13449668,2023-01-11
10,13397754,2023-01-04
11,13374140,2022-12-28
12,13315781,2022-12-21
13,13253776,2022-12-14
14,13220829,2022-12-07
15,13151497,2022-11-30
16,13117832,2022-11-23
17,13069090,2022-11-16
18,13029815,2022-11-09
19,12950475,2022-10-31
20,12878660,2022-10-20
21,12838037,2022-10-13
22,12793662,2022-10-06
